Ingredient,Rating,Description,Categories,Further information
"stearalkonium chloride",Good,"Antistatic ingredient used in hair-care products to control flyaways and aid in helping a brush or...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/stearalkonium-chloride
"stearalkonium hectorite",Good,"Used as a suspending agent.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/stearalkonium-hectorite
"stearates",Good,"See stearic acid","Thickeners/Emulsifiers, Emollients, Skin-Identical/Repairing Ingredients",
"steareth-20",Good,"Derived from the benign fatty ingredient stearyl alcohol, this functions primarily as a surfactant...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/steareth-20
"stearic acid",Good,"Fatty acid used as an emollient and as an agent to help keep other ingredients intact in a...","Thickeners/Emulsifiers, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/stearic-acid
"stearyl alcohol",Good,"Fatty alcohol used as an emollient and to help keep other ingredients intact in a formulation.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/stearyl-alcohol
"stearyl dimethicone",Good,"See polymer , silicone","Silicones, Slip Agents",
"stearyl glycyrrhetinate",Best,"The fatty acid form of the anti-irritant glycyrrhetinic acid, which is derived from licorice.","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/stearyl-glycyrrhetinate
"stearyl methicone",Good,"Silicone polymer used as a skin-conditioning or occlusive agent.","Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/stearyl-methicone
"stem cells",Average,"Stem cells are cells in animals and plants that are capable of becoming any other cell in that organism and reproducing more of those cells.","Plant Extracts, Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/stem-cells
"strawberry begonia",Average,"There is no research showing this has any benefit for skin.","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/strawberry-begonia
"styrax benzoin",Poor,"See benzoin extract","Preservatives",
"styrene/acrylates copolymer",Good,"Synthetic polymer.","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/styreneacrylates-copolymer
"subtilisin",Good,"Protease enzyme obtained from the fermentation of Bacillus subtilis.","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/subtilisin
"sucrose",Good,"Monosaccharide that has water-binding properties for skin.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/sucrose
"sugarcane extract",Average,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sugarcane-extract
"sulfates",Good,"Sulfates are a group of ingredients that have many consumers worried but in truth, misinformation, not sulfates, are the actual problem...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sulfates
"sulfur",Poor,"Antibacterial agent (Source: Applied Microbiology and Biotechnology, October 2001, pages 282–286)...","Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/sulfur
"sun protection factor",Best,"Most commonly seen as SPF, it is a number that is assigned to a product that identifies its ability...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sun-protection-factor
"sunflower seed oil",Best,"Non-volatile plant oil used as an emollient in cosmetics.","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sunflower-seed-oil
"sunscreens",Best,"Products considered over-the-counter drugs in the United States and as such are strictly regulated...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sunscreens
"superoxide dismutase",Best,"Enzyme considered to be a potent antioxidant in humans (Sources: Journal of Investigative...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/superoxide-dismutase
"surfactant",Good,"Shortened term for surface active agent. Surfactants degrease and emulsify oils and fats and...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/surfactant
"sweet almond",Good,"Most often used in its oil form, this ingredient is expressed from almonds. Also used as an...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sweet-almond
"sweet almond oil",Good,"See almond oil","Emollients",
"Symphytum officinale extract",Poor,"See comfrey extract","Anti-Irritants, Plant Extracts, Irritants",
"synthetic beeswax",Good,"An artificial form of beeswax composed of a mixture of alcohol esters (this isn't the type of...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/synthetic-beeswax
"synthetic wax",Good,"A wax derived from a mixture of various oils. It functions as a binding and stabilizing agent.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/synthetic-wax
"Szechuan peppercorn",Poor,"From a plant native to Szechuan Province in China. It grows on trees, and so differs from black...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/szechuan-peppercorn
"talc",Good,"Naturally occurring silicate mineral (any group of substances containing negative ions composed of...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/talc
"tallow",Poor,"Substance extracted from the fatty deposits of animals, especially from suet (the fat of cattle and...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/tallow
"tamanu oil",Good,"From a tree native to Polynesia. It is reputed to have wondrous wound-healing properties, as well...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tamanu-oil
"Tamarindus indica seed extract",Best,"More commonly known as tamarind, the seed extract is used more often for care of the eye itself rather than for skin care.","Antioxidants, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/Tamarindus-indica-seed-extract
"Tanacetum parthenium",Average,"See feverfew extract","Anti-Irritants, Plant Extracts, Irritants",
"tangerine oil",Poor,"Fragrant, volatile citrus oil that can be a skin irritant.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/tangerine-oil
"tannic acid",Best,"Potent antioxidant; it may have some anticarcinogenic properties (Sources: Bioorganic & Medicinal...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/tannic-acid
"tannin",Average,"Component of many plants. It can have an anti-tumor benefit when consumed in tea or foods (Source:...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/tannin
"Taraktogenos kurzii",Poor,"See chaulmoogra oil","Plant Extracts, Antibacterial/Anti-Acne",
"Taraxacum officinale",Poor,"See dandelion extract","Plant Extracts, Irritants",
"tartaric acid",Good,"See AHA","Leave-On Exfoliant",
"Tazorac",Best,"Chemically known as tazarotene, it is a synthetically derived retinoid with properties similar to...","Anti-Irritants, Prescription Drugs",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tazorac1
"TEA",Good,"See triethanolamine","Miscellaneous",
"tea tree oil",Good,"Also known as melaleuca, from the name of its plant source, Melaleuca alternifolia. It can have...","Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/tea-tree-oil1
"TEA-lauryl sulfate",Poor,"While there is abundant research showing sodium lauryl sulfate is a sensitizing cleansing agent,...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/tea-lauryl-sulfate
"teprenone",Average,"Teprenone is the brand name for a drug known as geranylgeranylacetone, which is used to treat...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/teprenone
"terephthalylidine dicamphor sulfonic acid",Best,"See Mexoryl SX","Sunscreen Actives",
"Terminalia catappa",Best,"Can be a potent antioxidant (Source: Anticancer Research, January-February 2001, pages 237–243).","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/terminalia-catappa
"Terminalia sericea",Best,"Herb that is effective against some forms of gram-positive and gram-negative bacteria when used in...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/terminalia-sericea
"Terminalia sericea extract",Good,"Extract that has anti-inflammatory and antibacterial properties, but there is no research showing...","Anti-Irritants, Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/terminalia-sericea-extract
"tetradibutyl pentaerithrityl hydroxyhydrocinnamate",Good,"See antioxidant","Antioxidants",
"tetrahexyldecyl ascorbate",Best,"Stable form of vitamin C that is considered an analogue of L-ascorbic acid. Unlike pure vitamin C...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/tetrahexyldecyl-ascorbate
"tetrahydrobisdemethoxycurcumin",Best,"Antioxidant and anti-inflammatory plant extract.","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tetrahydrobisdemethoxycurcumin
"tetrahydrobisdemethoxydiferuloylmethane",Best,"A synthetic antioxidant derived from Curcumin.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/tetrahydrobisdemethoxydiferuloylmethane
"tetrahydrodemethoxycurcumin",Best,"See turmeric , curcumin","Anti-Irritants, Antioxidants, Plant Extracts",
"tetrahydrodemethoxydiferuloylmethane",Best,"A synthetic antioxidant that provides the protective effects of potent antioxidant curcumin but...","Anti-Irritants, Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tetrahydrodemethoxydiferuloylmethane
"tetrahydrodiferuloylmethane",Best,"Antioxidant and anti-inflammatory plant extract.","Anti-Irritants, Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tetrahydrodiferuloylmethane
"tetrahydromethoxycurcumin",Best,"Antioxidant and anti-inflammatory plant extract.","Anti-Irritants, Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/tetrahydromethoxycurcumin
"tetrahydroxypropyl ethylenediamine",Good,"See chelating agent","Miscellaneous",
"tetrasodium EDTA",Good,"Chelating agent used to prevent minerals present in formulations from bonding to other ingredients.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/tetrasodium-edta
"tetrasodium etidronate",Good,"Used as a chelating agent in cosmetics to prevent varying mineral components from binding together...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/tetrasodium-etidronate
"Theobroma cacao seed butter",Best,"See cocoa butter","Plant Extracts, Emollients",
"thiamine HCL",Good,"Vitamin B1. There is no research showing this to be effective when applied topically on skin.","Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/vitamins/thiamine-hcl
"thickening agent",Good,"Substances that can have a soft to hard waxlike texture or a creamy, emollient feel, and that can...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/thickening-agent
"thioctic acid",Best,"Technical name for the antioxidant alpha lipoic acid. Unlike many antioxidants that are either...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/thioctic-acid
